"Department","Urban/Rural","Sex","Age","Indiginous","Civil_Status","Residence_2016","Department_2016","Country_2016","Reason","Info_status","Employment_type","Income","Education","Occupation","Pay_frequency","Monthly_Income"
"Chuquisaca","Urban","Female",38,"Does not belong","Separated","Abroad","","Argentina","Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Secondary","Service Workers/Merchants",NA,NA
"Chuquisaca","Urban","Male",15,"Does not belong","Single","Abroad","","Argentina","Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",22,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",36,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",32,"Does not belong","Single","Abroad","","Argentina","Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Female",20,"Does not belong","Single","Elsewhere in the country","Beni",NA,"Education",NA,"Unskilled Laborer",NA,"Complete Secondary","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Male",21,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education",NA,"Unskilled Laborer",NA,"Higher Education","Unskilled Workers",NA,NA
"Chuquisaca","Urban","Female",21,"Does not belong","Single","Elsewhere in the country","Santa Cruz",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",21,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",23,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",19,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education","Student",NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Urban","Male",23,"Does not belong","Single","Elsewhere in the country","Tarija",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",22,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education",NA,"Unskilled Laborer",NA,"Higher Education","Construction/Manufacturing Industry Workers",NA,NA
"Chuquisaca","Urban","Female",21,"Does not belong","Single","Elsewhere in the country","Oruro",NA,"Education",NA,"Unskilled Laborer",NA,"Higher Education","Service Workers/Merchants",NA,NA
"Chuquisaca","Urban","Male",31,"Does not belong","Single","Elsewhere in the country","Santa Cruz",NA,NA,NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"Chuquisaca","Urban","Male",12,"Does not belong","Single","Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",9,"Does not belong",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",23,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education",NA,"Unskilled Laborer",NA,"Higher Education","Office Employees",NA,NA
"Chuquisaca","Urban","Female",21,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",22,"Does not belong","Single","Elsewhere in the country","Cochabamba",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",22,"Does not belong","Single","Elsewhere in the country","Potosí",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",41,"Belongs","Separated","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Self-Employed",300,"Incomplete Primary","Construction/Manufacturing Industry Workers","Monthly",300
"Chuquisaca","Urban","Female",10,"Belongs",NA,"Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",9,"Belongs",NA,"Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",7,"Belongs",NA,"Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",26,"Belongs","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Health",NA,NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Urban","Male",65,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Health","Retired",NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",44,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Female",30,"Belongs","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Higher Education","Service Workers/Merchants",NA,NA
"Chuquisaca","Urban","Female",9,"Does not belong",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",24,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",36,"Does not belong","Separated","Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Higher Education","Construction/Manufacturing Industry Workers",NA,NA
"Chuquisaca","Urban","Male",25,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Health",NA,"Unpaid Laborer",NA,"Higher Education","Agriculture, Livestock, Fishing and Others",NA,NA
"Chuquisaca","Urban","Female",23,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Health",NA,"Unpaid Laborer",NA,"Higher Education","Service Workers/Merchants",NA,NA
"Chuquisaca","Urban","Female",28,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Health","Other",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",23,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Chuquisaca",NA,"Education",NA,"Self-Employed",2000,"Complete Secondary","Service Workers/Merchants","Monthly",2000
"Chuquisaca","Urban","Female",26,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Female",21,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Chuquisaca",NA,"Education","Stay-at-Home",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",21,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Urban","Male",10,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",19,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Urban","Male",27,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Work Transfer",NA,"Self-Employed",7000,"Complete Secondary","Agriculture, Livestock, Fishing and Others","Monthly",7000
"Chuquisaca","Urban","Female",22,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Work Transfer",NA,"Self-Employed",60000,"Higher Education","Service Workers/Merchants","Monthly",60000
"Chuquisaca","Urban","Female",24,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",27,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",27,"Belongs","Single","Elsewhere in the country","Potosí",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Female",22,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",35,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Public Administration and Business Managers",NA,NA
"Chuquisaca","Urban","Female",38,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Male",15,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",5,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"Chuquisaca","Urban","Male",33,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Tarija",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Mid-Level Technicians",NA,NA
"Chuquisaca","Urban","Male",52,"Belongs","Single","Abroad","","Argentina","Family Reason",NA,"Self-Employed",6000,"Higher Education","Agriculture, Livestock, Fishing and Others","Annually",500
"Chuquisaca","Urban","Female",25,"Does not belong","Separated","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Male",7,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Female",30,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Female",11,"Belongs",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",23,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Mid-Level Technicians",NA,NA
"Chuquisaca","Rural","Male",27,"Belongs","Commonlaw Marriage","Elsewhere in the country","Tarija",NA,NA,NA,"Unskilled Laborer",NA,"Complete Secondary","Service Workers/Merchants",NA,NA
"Chuquisaca","Rural","Female",30,"Belongs","Commonlaw Marriage","Elsewhere in the country","Tarija",NA,NA,NA,"Self-Employed",1300,"Incomplete Secondary","Service Workers/Merchants","Weekly",5200
"Chuquisaca","Rural","Male",9,"Belongs",NA,"Elsewhere in the country","Tarija",NA,NA,"Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",43,"Belongs","Married","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Male",26,"Belongs","Commonlaw Marriage","Elsewhere in the country","Potosí",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Male",34,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Male",50,"Belongs","Married","Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Female",41,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Female",40,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Male",7,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Female",26,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Rural","Female",32,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Male",6,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"Chuquisaca","Rural","Male",11,"Does not belong",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Incomplete Primary","Unskilled Workers",NA,NA
"Chuquisaca","Rural","Male",31,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Job Search",NA,"Self-Employed",1800,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others","Annually",150
"Chuquisaca","Rural","Female",31,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Job Search",NA,"Unpaid Laborer",NA,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others",NA,NA
"Chuquisaca","Rural","Male",9,"Does not belong",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",34,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Rural","Female",30,"Does not belong","Separated","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Unskilled Laborer",NA,"Incomplete Secondary","Service Workers/Merchants",NA,NA
"Chuquisaca","Rural","Male",39,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Construction/Manufacturing Industry Workers",NA,NA
"Chuquisaca","Rural","Female",33,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Mid-Level Technicians",NA,NA
"Chuquisaca","Rural","Male",13,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Rural","Male",8,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",34,"Does not belong","Married","Elsewhere in the country","Cochabamba",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Female",28,"Belongs","Single","Abroad","","Argentina","Education",NA,"Unskilled Laborer",NA,"Incomplete Primary","Unskilled Workers",NA,NA
"Chuquisaca","Rural","Female",10,"Belongs",NA,"Abroad","","Argentina","Education","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",30,"Does not belong","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Primary","Construction/Manufacturing Industry Workers",NA,NA
"Chuquisaca","Rural","Female",27,"Does not belong","Single","Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others",NA,NA
"Chuquisaca","Rural","Female",21,"Does not belong","Single","Elsewhere in the country","Cochabamba",NA,"Education",NA,"Unpaid Laborer",NA,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others",NA,NA
"Chuquisaca","Rural","Male",56,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Stay-at-Home",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Rural","Female",23,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Education",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Rural","Male",29,"Does not belong","Single","Abroad","","Argentina","Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"Chuquisaca","Rural","Male",32,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",18500,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others","Annually",1541.66666666667
"Chuquisaca","Rural","Female",26,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",800,"Incomplete Secondary","Service Workers/Merchants","Weekly",3200
"Chuquisaca","Rural","Male",9,"Belongs",NA,"Abroad","","Argentina","Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",6,"Belongs",NA,"Abroad","","Argentina","Family Reason",NA,NA,NA,"None",NA,NA,NA
"Chuquisaca","Rural","Female",43,"Does not belong","Married","Elsewhere in the country","Cochabamba",NA,"Job Search","Stay-at-Home",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",47,"Does not belong","Married","Elsewhere in the country","Cochabamba",NA,"Job Search",NA,"Self-Employed",NA,"Higher Education","Construction/Manufacturing Industry Workers",NA,NA
"Chuquisaca","Rural","Female",6,"Does not belong",NA,"Elsewhere in the country","Cochabamba",NA,"Family Reason",NA,NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",44,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Complete Secondary","Mid-Level Technicians",NA,NA
"Chuquisaca","Rural","Female",28,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Stay-at-Home",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Rural","Female",8,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",39,"Does not belong","Divorced","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Unskilled Laborer",NA,"Complete Secondary","Installation/Machinery Operators",NA,NA
"Chuquisaca","Rural","Female",13,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Education","Student",NA,NA,"Complete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",8,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Female",6,"Does not belong",NA,"Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"Chuquisaca","Rural","Female",65,"Does not belong","Divorced","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Rural","Male",31,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Mid-Level Technicians",NA,NA
"Chuquisaca","Rural","Female",21,"Does not belong","Married","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
